codigo_extintor,sede_edificio,ubicacion_especifica,agente_extintor,capacidad_lbs,numero_serie,fecha_ultima_recarga,fecha_vencimiento_recarga,fecha_ultima_inspeccion,presion_manometro,estado_general,manguera_boquilla,pin_seguridad,senalizacion,altura_instalacion_m,inspector_responsable,observaciones
EXT-POP-101,Alcaldía Municipal - Sede Central (CAM),Piso 1 - Recepción y Servicio al Ciudadano,ABC - Polvo Químico Seco,10.0,SN-2024-54131,2025-09-28,2026-09-28,2026-08-11,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.3,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Extintor en óptimas condiciones de funcionamiento.
EXT-POP-102,Alcaldía Municipal - Sede Central (CAM),Piso 2 - Despacho del Alcalde,ABC - Polvo Químico Seco,20.0,SN-2024-38693,2025-05-30,2026-05-30,2026-07-23,Cero,Fuera de Servicio,Buen Estado,Intacto,Visible y Clara,1.4,Téc. María Fernanda Valencia,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-103,Alcaldía Municipal - Sede Central (CAM),Piso 3 - Secretaría de Planeación,ABC - Polvo Químico Seco,10.0,SN-2024-66886,2025-02-18,2026-02-18,2026-07-29,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.3,Ing. Diana Marcela Burbano,Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-104,Alcaldía Municipal - Sede Central (CAM),Sótano - Archivo General,Acetato de Potasio (Clase K),6.0,SN-2024-33897,2025-05-11,2026-05-11,2026-07-21,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.2,Ing. Andrés Felipe Gómez (HSE),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-105,Hospital Universitario San José,Urgencias - Pasillo A,ABC - Polvo Químico Seco,20.0,SN-2024-76557,2025-09-21,2026-09-21,2026-07-17,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.4,Téc. María Fernanda Valencia,Extintor en óptimas condiciones de funcionamiento.
EXT-POP-106,Hospital Universitario San José,Unidad de Cuidados Intensivos (UCI),CO2 - Dióxido de Carbono,10.0,SN-2024-42606,2025-09-17,2026-09-17,2026-07-24,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.2,Ing. Diana Marcela Burbano,Extintor en óptimas condiciones de funcionamiento.
EXT-POP-107,Hospital Universitario San José,Laboratorio Clínico,Acetato de Potasio (Clase K),10.0,SN-2024-73704,2025-08-03,2026-08-03,2026-08-01,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.5,Téc. María Fernanda Valencia,Extintor en óptimas condiciones de funcionamiento.
EXT-POP-108,Hospital Universitario San José,Planta Eléctrica de Emergencia,ABC - Polvo Químico Seco,10.0,SN-2024-49504,2025-02-10,2026-02-10,2026-06-29,Baja - Zona Roja,Fuera de Servicio,Buen Estado,Faltante / Crotal Roto,Visible y Clara,1.3,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-109,Hospital Universitario San José,Piso 3 - Quirófanos,Agua Presurizada (AP),2.5,SN-2024-62256,2025-10-16,2026-10-16,2026-06-05,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.1,Ing. Diana Marcela Burbano,Extintor en óptimas condiciones de funcionamiento.
EXT-POP-110,Complejo Deportivo Villa Olímpica,Coliseo Mayor - Zona de Graderías,ABC - Polvo Químico Seco,20.0,SN-2024-92948,2025-03-03,2026-03-03,2026-08-27,Baja - Zona Roja,Vencido - Requiere Recarga,Buen Estado,Intacto,Visible y Clara,1.3,Ing. Andrés Felipe Gómez (HSE),Mantenimiento inmediato requerido. Cilindro vencido o despresurizado.
EXT-POP-111,Complejo Deportivo Villa Olímpica,Cancha Sintética - Camerinos,CO2 - Dióxido de Carbono,15.0,SN-2024-64268,2025-10-10,2026-10-10,2026-06-09,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.3,Ing. Andrés Felipe Gómez (HSE),Extintor en óptimas condiciones de funcionamiento.
EXT-POP-112,Complejo Deportivo Villa Olímpica,Oficinas Administrativas,CO2 - Dióxido de Carbono,10.0,SN-2024-32299,2025-08-19,2026-08-19,2026-06-15,Correcta - Zona Verde,Operativo,Buen Estado,Intacto,Visible y Clara,1.3,Sgt. Juan Carlos Mosquera (Bomberos Popayán),Extintor en óptimas condiciones de funcionamiento.
